                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1238,                 3.9702,                  4.252,                0.00451,                      1,                 0.0103,                0.00624,                 2.5783,                 3.6778,                 4.1593,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                 2.9759,                 3.8034,                 4.2374,                0.00354,                      1,                0.00858,                0.00452,                  2.579,                  3.678,                 4.1588,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      2,                 3.1371,                  3.806,                 4.2331,                0.00451,                      1,                 0.0097,                0.00467,                 2.5793,                 3.6782,                 4.1591,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 2.9923,                 3.8356,                 4.2206,                0.00356,                      1,                0.01678,                0.00622,                 2.5796,                 3.6768,                 4.1587,             9.9362e-05,             9.9362e-05,             9.9362e-05
                      4,                 2.9091,                 3.7712,                 4.2047,                0.00355,                      1,                0.01146,                0.00557,                  2.577,                 3.6742,                 4.1586,             0.00012032,             0.00012032,             0.00012032
                      5,                 2.8354,                 3.7388,                 4.2298,                0.00482,                      1,                0.01368,                0.00848,                 2.5758,                 3.6724,                 4.1575,             0.00013799,             0.00013799,             0.00013799
                      6,                 2.9447,                 3.8109,                 4.2131,                0.00482,                      1,                0.01601,                0.00736,                 2.5724,                 3.6725,                 4.1568,             0.00015235,             0.00015235,             0.00015235
                      7,                 3.0531,                 3.7189,                 4.1787,                0.00495,                      1,                0.01506,                0.00722,                 2.5736,                  3.673,                  4.156,             0.00016341,             0.00016341,             0.00016341
                      8,                 2.9908,                 3.6622,                 4.1894,                0.00495,                      1,                0.01194,                0.00749,                 2.5727,                 3.6706,                 4.1555,             0.00017117,             0.00017117,             0.00017117
                      9,                 2.8834,                 3.7864,                 4.1609,                0.00482,                      1,                0.01117,                0.00526,                 2.5719,                 3.6723,                 4.1545,             0.00017563,             0.00017563,             0.00017563
                     10,                 2.6543,                 4.1685,                   4.22,                0.00458,                      1,                0.00949,                0.00488,                 2.5735,                 3.6699,                 4.1533,             0.00017679,             0.00017679,             0.00017679
                     11,                 2.6351,                 4.0691,                 4.1889,                0.00486,                      1,                0.01435,                0.00677,                 2.5707,                 3.6709,                 4.1524,             0.00017464,             0.00017464,             0.00017464
                     12,                 2.6082,                 4.2298,                 4.1969,                0.00469,                      1,                0.01017,                0.00559,                 2.5715,                  3.671,                 4.1517,              0.0001692,              0.0001692,              0.0001692
                     13,                 2.5807,                 4.1649,                 4.2059,                0.00473,                      1,                 0.0093,                0.00447,                 2.5717,                 3.6715,                 4.1508,             0.00016046,             0.00016046,             0.00016046
                     14,                 2.6591,                 4.2422,                 4.2319,                0.00469,                      1,                0.00782,                0.00422,                 2.5717,                 3.6715,                 4.1496,             0.00014841,             0.00014841,             0.00014841
                     15,                 2.6636,                 4.2435,                 4.1614,                0.00473,                      1,                0.00821,                0.00408,                 2.5713,                 3.6717,                 4.1484,             0.00013307,             0.00013307,             0.00013307
                     16,                  2.668,                 4.2919,                 4.1954,                 0.0047,                      1,                0.00819,                0.00403,                 2.5698,                 3.6713,                 4.1468,             0.00011442,             0.00011442,             0.00011442
                     17,                 2.5972,                 4.0479,                 4.1457,                0.00473,                      1,                0.00828,                0.00432,                 2.5706,                 3.6715,                 4.1452,             9.2477e-05,             9.2477e-05,             9.2477e-05
                     18,                 2.7118,                 4.1738,                  4.158,                0.00469,                      1,                0.01517,                0.00564,                 2.5702,                 3.6708,                 4.1437,              6.723e-05,              6.723e-05,              6.723e-05
                     19,                 2.6456,                 4.1915,                 4.2042,                0.00473,                      1,                0.01026,                0.00498,                 2.5707,                 3.6761,                 4.1425,             3.8683e-05,             3.8683e-05,             3.8683e-05
